,ticker,company_name,sector,specific
133,RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing
134,ROK,"Rockwell Automation, Inc.",Industrials,Specialty Industrial Machinery
135,RTX,Raytheon Technologies Corporation,Industrials,Aerospace & Defense
136,SANM,Sanmina Corporation,Technology,Electronic Components
137,SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants
138,SCS,Steelcase Inc.,Industrials,Business Equipment & Supplies
139,SNA,Snap-on Incorporated,Industrials,Tools & Accessories
140,SO,The Southern Company,Utilities,Utilities—Regulated Electric
141,SR,Spire Inc.,Utilities,Utilities—Regulated Gas
142,STM,STMicroelectronics N.V.,Technology,Semiconductors
143,STX,Seagate Technology Holdings plc,Technology,Computer Hardware
144,SWK,"Stanley Black & Decker, Inc.",Industrials,Tools & Accessories
145,SWKS,"Skyworks Solutions, Inc.",Technology,Semiconductors
146,SYK,Stryker Corporation,Healthcare,Medical Devices
147,T,AT&T Inc.,Communication Services,Telecom Services
148,TDY,Teledyne Technologies Incorporated,Technology,Scientific & Technical Instruments
149,TEL,TE Connectivity Ltd.,Technology,Electronic Components
150,TGT,Target Corporation,Consumer Defensive,Discount Stores
151,TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research
152,TOL,"Toll Brothers, Inc.",Consumer Cyclical,Residential Construction
153,TSCO,Tractor Supply Company,Consumer Cyclical,Specialty Retail
154,TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers
155,TT,Trane Technologies plc,Industrials,Specialty Industrial Machinery
156,TXN,Texas Instruments Incorporated,Technology,Semiconductors
157,UNP,Union Pacific Corporation,Industrials,Railroads
158,VC,Visteon Corporation,Consumer Cyclical,Auto Parts
159,VFC,V.F. Corporation,Consumer Cyclical,Apparel Manufacturing
160,VNT,Vontier Corporation,Technology,Scientific & Technical Instruments
161,VSH,"Vishay Intertechnology, Inc.",Technology,Semiconductors
162,WDC,Western Digital Corporation,Technology,Computer Hardware
163,WEC,"WEC Energy Group, Inc.",Utilities,Utilities—Regulated Electric
164,WHR,Whirlpool Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
165,WMT,Walmart Inc.,Consumer Defensive,Discount Stores
166,WY,Weyerhaeuser Company,Real Estate,REIT—Specialty
167,XEL,Xcel Energy Inc.,Utilities,Utilities—Regulated Electric
168,XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated
169,XRX,Xerox Holdings Corporation,Technology,Information Technology Services
170,YORW,The York Water Company,Utilities,Utilities—Regulated Water
