ticker,date,TotalDebt_x,TotalDebt_y,AccountsReceivable,FreeCashFlow,FinancingCashFlow,OperatingCashFlow
D,2019-12-31,37897000000.0,37897000000.0,2278000000.0,224000000,-704000000,5204000000
D,2020-12-31,37014000000.0,37014000000.0,2295000000.0,-793000000,-2333000000,5227000000
D,2021-12-31,40581000000.0,40581000000.0,2219000000.0,-1923000000,2371000000,4037000000
DAN,2018-12-31,1783000000.0,1783000000.0,1065000000.0,243000000,-180000000,568000000
DAN,2019-12-31,2552000000.0,2552000000.0,1103000000.0,211000000,479000000,637000000
DAN,2020-12-31,2651000000.0,2651000000.0,1201000000.0,60000000,-12000000,386000000
DAN,2021-12-31,2669000000.0,2669000000.0,1321000000.0,-211000000,-127000000,158000000
DD,2018-12-31,40464000000.0,40464000000.0,12376000000.0,760000000,-1918000000,4731000000
DD,2019-12-31,17447000000.0,17447000000.0,2954000000.0,-1268000000,-11550000000,1409000000
DD,2020-12-31,21811000000.0,21811000000.0,2810000000.0,2831000000,3238000000,4095000000
DD,2021-12-31,10782000000.0,10782000000.0,2062000000.0,-956000000,-6507000000,2281000000
DE,2018-10-31,42256300000.0,42256300000.0,5004300000.0,-1129800000,876400000,1820300000
DE,2019-10-31,45334000000.0,45334000000.0,5230000000.0,-37000000,509000000,3412000000
DE,2020-10-31,46295000000.0,46295000000.0,4171000000.0,4827000000,-980000000,7483000000
DE,2021-10-31,48691000000.0,48691000000.0,4208000000.0,5146000000,-1078000000,7726000000
DELL,2019-01-31,53521000000.0,53521000000.0,12371000000.0,5494000000,-14329000000,6991000000
DELL,2020-01-31,53848000000.0,53848000000.0,12484000000.0,6715000000,-4604000000,9291000000
DELL,2021-01-31,50207000000.0,50207000000.0,12788000000.0,9325000000,-5950000000,11407000000
DELL,2022-01-31,26954000000.0,26954000000.0,12912000000.0,7511000000,-16609000000,10307000000
DHR,2018-12-31,9740300000.0,9740300000.0,3489600000.0,3366300000,-797400000,4022000000
DHR,2019-12-31,22526000000.0,22526000000.0,3191400000.0,3316100000,16365900000,3951600000
DHR,2020-12-31,22178000000.0,22178000000.0,4045000000.0,5417000000,1006000000,6208000000
DHR,2021-12-31,23272000000.0,23272000000.0,4631000000.0,7064000000,1295000000,8358000000
DUK,2018-12-31,57939000000.0,57939000000.0,3134000000.0,-2203000000,2960000000,7186000000
DUK,2019-12-31,62693000000.0,62693000000.0,3060000000.0,-2913000000,3730000000,8209000000
DUK,2020-12-31,64076000000.0,64076000000.0,3153000000.0,-1051000000,1731000000,8856000000
DUK,2021-12-31,68213000000.0,68213000000.0,3610000000.0,-1425000000,2609000000,8290000000
ECL,2018-12-31,7045200000.0,7045200000.0,2662500000.0,1430600000,-1172700000,2277700000
ECL,2019-12-31,6932500000.0,6932500000.0,2796500000.0,1620100000,-1349600000,2420700000
ECL,2020-12-31,7112700000.0,7112700000.0,2273800000.0,1371200000,-341800000,1860200000
ECL,2021-12-31,9155900000.0,9155900000.0,2478400000.0,1418900000,1603200000,2061900000
ED,2018-12-31,20711000000.0,20711000000.0,1267000000.0,-802000000,2938000000,2695000000
