2330
A
ABT
ADI
AEP
AGCO
AMAT
AMD
AMGN
AMKR
AMZN
ANF
APH
ARW
AVGO
AVT
AWR
BA
BAX
BDX
BIIB
BKR
BMY
BRK.A
BSX
BWA
CARR
CAT
CDW
CL
CLX
CMI
CNHI
COKE
COP
COST
CR
CSCO
CTAS
CTVA
CVX
D
DAN
DD
DE
DELL
DHR
DUK
ECL
ED
EIX
EL
ELY
EOG
EQNR
ES
ETN
EVRG
FLEX
FLS
FTNT
FTS
GD
GE
GILD
GLW
GM
GPS
GWW
HAL
HAS
HD
HES
HON
HPE
HPQ
HUN
IBM
IMO
INTC
IR
ITT
ITW
JBL
JCI
JNJ
JNPR
KHC
KLAC
KMB
KO
LEA
LEN
LHX
LII
LLY
LMT
LNT
LOW
LRCX
LSCC
LUV
MCK
MDT
MG
MHK
MMM
MPC
MRK
MRO
MRVL
MSFT
MSI
MU
NEE
NEU
NKE
NOVN
NUE
NVDA
NXPI
OC
ON
OSK
OTIS
OXY
PCAR
PEP
PFE
PG
PH
PNW
PPL
QCOM
REGN
RL
ROK
RTX
SANM
SBUX
SCS
SNA
SO
SR
STM
STX
SWK
SWKS
SYK
T
TDY
TEL
TGT
TMO
TOL
TSCO
TSLA
TT
TXN
UNP
VC
VFC
VNT
VSH
WDC
WEC
WHR
WMT
WY
XEL
XOM
XRX
YORW
