NYSE:KMB
NYSE:TGT
NYSE:ROK
NYSE:HD
NYSE:DE
NasdaqGS:HON
NYSE:SWK
TSE:7751
NYSE:CAT
NYSE:MDT
SEHK:902
NYSE:COP
NYSE:IBM
NYSE:ES
NYSE:ED
NasdaqGS:XEL
NYSE:LMT
NYSE:SR
NYSE:WEC
TSX:FTS
NYSE:UNP
TSE:8591
NasdaqGS:YORW
BIT:ENI
NYSE:PPL
TSX:MG
NasdaqGS:LNT
TSE:6758
NYSE:EVRG
TSE:7267
NasdaqGS:AEP
BMV:FEMSA UBD
NYSE:CLX
TSX:BAM.A
NYSE:ETN
NYSE:RTX
NYSE:GD
NYSE:SO
NYSE:NUE
NasdaqGS:QCOM
NYSE:ECL
NYSE:PNW
NYSE:NEE
LSE:BP.
NYSE:TEL
NYSE:VFC
NasdaqGS:NVDA
SWX:ABBN
NYSE:EOG
NYSE:BKR
NYSE:BAX
NasdaqGS:LRCX
NasdaqGS:CTAS
NasdaqGS:AMAT
NYSE:SNA
NYSE:RL
NYSE:CTVA
-
KOSE:A017670
NasdaqGS:BIIB
NYSE:SYK
NasdaqGS:AMGN
LSE:DGE
NYSE:BF.B
NYSE:AWR
NasdaqGS:PCAR
LSE:ULVR
NasdaqGS:COST
SEHK:386
TSE:7203
ENXTAM:RDSA
NYSE:ITW
NasdaqGS:PEP
NYSE:CMI
NYSE:BMY
NYSE:GWW
NYSE:MMM
NYSE:KO
NasdaqGS:INTC
NYSE:ABT
NasdaqGS:TXN
NYSE:MRK
NYSE:LLY
NYSE:PFE
NYSE:EL
NasdaqGS:AMZN
NYSE:WMT
TWSE:2412
KOSE:A015760
NYSE:BRK.A
NYSE:CVX
OB:EQNR
TSX:IMO
NasdaqGS:CSCO
NYSE:XOM
NYSE:PG
TWSE:2330
NYSE:CL
NYSE:NKE
SWX:NOVN
CPSE:NOVO B
NasdaqGS:MSFT
NYSE:JNJ
NYSE:NAV
NYSE:ELY
NasdaqGS:AMKR
NasdaqGS:TSLA
NYSE:DAN
NYSE:XRX
NYSE:FLOW
BOVESPA:EMBR3
NasdaqGS:VC
NYSE:OXY
NYSE:GPS
NasdaqGS:LSCC
NYSE:ANF
NYSE:DELL
NasdaqGS:SANM
NasdaqGS:KHC
NYSE:HUN
NasdaqGS:STX
HLSE:NOKIA
NYSE:VSH
NYSE:IR
NasdaqGS:WDC
NasdaqGS:ON
NYSE:TOL
NYSE:T
NYSE:LUV
NYSE:EIX
NYSE:OTIS
NYSE:LHX
NasdaqGS:COKE
NYSE:WY
NYSE:MPC
NYSE:BWA
NYSE:GM
NYSE:JNPR
NYSE:CARR
NYSE:WHR
NYSE:HPQ
NYSE:OC
NYSE:TT
XTRA:FME
NYSE:HPE
NYSE:TDY
NYSE:LII
NYSE:ITT
NYSE:CR
NasdaqGS:NXPI
NYSE:OSK
ENXTPA:STM
NasdaqGS:TSCO
NYSE:BDX
NYSE:CNHI
NasdaqGS:ADI
NYSE:BSX
NasdaqGS:CDW
NYSE:MRO
NYSE:LEA
NYSE:SCS
NYSE:ARW
NYSE:JBL
NYSE:HES
NasdaqGS:AVGO
NYSE:MSI
NYSE:VNT
NasdaqGS:AVT
NasdaqGS:FLEX
NasdaqGS:AMD
NasdaqGS:HAS
NasdaqGS:MRVL
NYSE:FLS
NasdaqGS:MU
NYSE:AGCO
NasdaqGS:SWKS
NYSE:LEN
NYSE:BA
NasdaqGS:SBUX
NYSE:MCK
NYSE:JCI
NYSE:PH
NYSE:D
NYSE:HAL
NYSE:APH
NYSE:TMO
NasdaqGS:FTNT
NYSE:DHR
NYSE:DUK
NYSE:NEU
NYSE:LOW
NYSE:A
NYSE:MHK
NYSE:GLW
NYSE:DD
NasdaqGS:GILD
NYSE:GE
NasdaqGS:REGN
NasdaqGS:KLAC
LSE:SN.
